ansi-styles	684594369
string-width	508567931
commander	508170198
chalk	505482226
supports-color	501448901
ansi-regex	499053809
wrap-ansi	438138852
has-flag	321630040
argparse	265500643
yargs	259336114
yargs-parser	257979000
cliui	240263165
picocolors	230061486
vite	176345363
rimraf	163275171
optionator	150566924
npm-run-path	149756457
ansi-escapes	128664740
cli-cursor	121530582
restore-cursor	121469606
slice-ansi	117943480
jackspeak	117352790
css-tree	113976717
log-symbols	105233401
is-callable	101994878
kleur	99269363
is-generator-function	92141963
ora	90551504
tsx	86295224
figures	80038850
cli-spinners	76503119
pure-rand	74942150
generator-function	71772240
regenerator-runtime	70041736
ansi-colors	61035200
prompts	60255151
consola	56661010
next	55288719
cli-truncate	54591477
progress	53965128
import-local	50453519
inquirer	50006876
uglify-js	47573989
ansis	47030166
co	45978541
log-update	45718471
yn	45660513
listr2	44828118
regenerate	43967176
meow	42796326
is-generator-fn	42188704
supports-hyperlinks	40309008
widest-line	39183907
yoctocolors	37367941
enquirer	35327860
cli-table3	34431458
cli-boxes	33349236
yoctocolors-cjs	31415684
boxen	30170213
fast-string-truncated-width	29996386
fast-string-width	29925213
jake	29900755
powershell-utils	27489740
ansi-align	25278016
is-installed-globally	24634902
mri	22729949
dashdash	20750889
wrangler	20082370
html-minifier-terser	20061843
quansync	19821531
prisma	17048010
knip	14268570
nodemon	14161480
es6-iterator	13037492
regenerator-transform	12072609
webpack-cli	11939796
cli-progress	11032284
wait-on	10842467
dargs	10615237
update-notifier	10448633
chevrotain	10035206
stream-chain	10020530
yocto-spinner	10000207
sade	9752864
skills	9363514
cli-highlight	9156743
gray-matter	8940668
nearley	7976546
command-line-args	7950139
http-server	7586074
is-in-ci	7515684
command-line-usage	7452175
json-to-pretty-yaml	7100150
ncp	7045030
ink	6484606
direction	6088904
command-exists	5949429
uid-safe	5878620
better-result	5718289
random-bytes	5706162
easy-table	5469723
clipanion	5281909
typedoc	5050720
getopts	4984833
npm-run-all	4969947
cli-table	4923940
readline-sync	4783733
agent-cli-detector	4479161
lighthouse	4360393
jscpd	4323385
piccolore	4292609
hyperlinker	4156324
speedline-core	3925374
cli-color	3743947
optimist	3656619
koa-convert	3637724
pm2	3626358
password-prompt	3596270
native-run	3438583
nanospinner	3209038
html-minifier	3077803
sandbox	3032268
conventional-changelog	2885048
logkitty	2845857
chance	2840471
ansi-fragments	2840190
firebase-tools	2829323
elegant-spinner	2807549
react-qr-code	2764502
qrcode-generator	2749939
rrweb-snapshot	2706767
rrweb	2695193
argue-cli	2639167
listr	2606735
npm-run-all2	2525683
gradient-string	2496402
update-notifier-cjs	2495938
svelte-check	2483097
node-plop	2454249
lsofi	2387543
react-inspector	2374174
subarg	2323737
ansi-gray	2263591
json-schema-to-zod	2189950
binary-version-check	2088527
binary-version	2085199
react-native-nitro-modules	2037664
agent-install	2030517
prettyjson	2026076
args	1990271
sandbox-cli-detector	1953481
picospinner	1950885
zod-to-ts	1916712
cli-tableau	1871304
yeoman-environment	1859320
which-command	1789210
inquirer-autocomplete-prompt	1774754
env-cmd	1764538
gensequence	1706239
vite-plugin-vue-tracer	1690876
plop	1688809
minimisted	1672258
tokenx	1631649
yeast	1627260
markdownlint-cli2	1618062
yeoman-generator	1556957
promptly	1537311
json-2-csv	1508179
await-lock	1485279
shx	1419326
short-unique-id	1406748
condense-newlines	1402274
size-limit	1378383
vite-plugin-vue-inspector	1371123
agent-browser	1360414
config-file-ts	1335767
secretlint	1331906
simple-bin-help	1329077
ansi-red	1326774
postcss-cli	1325261
grunt	1292042
eas-cli	1250349
tokenjuice	1224086
rndm	1189739
ansi-cyan	1188916
acpx	1155406
markdownlint-cli	1146300
cli	1074976
sequelize-cli	1073253
license-checker	1069714
cli-sprintf-format	1032163
docxtemplater	1003600
readline2	968207
electron-vite	964975
bwip-js	951788
devframe	893445
clap	881477
chokidar-cli	874816
inquirer-checkbox-plus-prompt	860290
mersenne-twister	843390
ink-table	835358
ml-xsadd	828616
fn-args	824725
array-treeify	818723
beeper	808504
glslify	796930
yosay	790006
commitlint	752628
officeparser	741988
cypress-terminal-report	732770
libnpmfund	725764
libnpmdiff	725340
libnpmexec	724849
json-schema-faker	722509
cli-columns	718206
generate-password	715267
nest-commander	709153
fx-runner	704868
taketalk	703065
del-cli	701027
mastra	691594
yo	676875
yeoman-character	674573
ical-generator	674269
yeoman-doctor	673652
parse-help	669168
mcporter	662685
ink-testing-library	662134
mnemonic-id	653018
ics	649013
chunk-data	640633
i18next-cli	628453
ora-classic	594045
openapi-typescript-codegen	592984
ulidx	560472
image-dimensions	559861
favicons	541923
inquirer-autocomplete-standalone	541470
type-flag	541365
stdout-update	539046
